module_step	KMM289	KMM358	KMM366
M00612_01	1	1	1
M00616_01	1	1	1
M00618_01	1	1	1
M00620_05	1	1	1
M00621_00	1	1	1
M00621_01	1	1	1
M00621_02	1	1	1
M00627_02	0	0	1
M00631_03	1	0	0
M00631_04	1	1	1
M00632_00	1	1	1
M00632_01	1	1	1
M00632_02	1	1	1
M00632_03	1	1	1
M00642_00	1	1	1
M00649_00	1	1	1
M00649_01	1	1	1
M00649_02	1	1	1
M00664_03	1	1	1
M00698_00	1	1	1
M00704_01	1	1	1
M00718_01	1	1	1
M00726_02	1	1	1
M00740_00	1	1	1
M00740_02	1	1	1
M00744_00	1	1	1
M00744_01	1	1	1
M00761_00	1	1	1
M00769_01	1	1	1
M00793_00	1	1	1
M00793_01	1	1	1
M00793_02	1	1	1
M00835_02	1	0	0
M00840_00	1	1	1
M00840_03	1	1	1
M00840_06	1	1	1
M00841_00	1	1	1
M00841_03	1	1	1
M00842_00	1	1	1
M00842_01	1	1	1
M00843_00	1	1	1
M00843_01	1	1	1
M00844_00	1	1	1
M00844_01	1	1	1
M00844_02	1	1	1
M00845_01	1	1	1
M00845_02	1	1	1
M00845_04	1	1	1
M00845_05	1	1	1
M00845_06	1	1	1
M00846_00	1	1	1
M00846_01	1	1	1
M00846_02	1	1	1
M00846_03	1	1	1
M00846_04	1	1	1
M00846_05	1	1	1
M00849_00	1	1	1
M00849_05	1	1	1
M00850_01	1	1	1
M00850_02	1	0	0
M00854_00	1	1	1
M00854_01	1	1	1
M00855_00	1	1	1
M00855_01	1	1	1
M00855_02	1	1	1
M00856_01	0	1	1
M00866_00	1	1	1
M00866_01	1	1	1
M00866_02	1	1	1
M00866_03	1	1	1
M00866_04	1	1	1
M00866_05	1	1	1
M00866_06	1	1	1
M00866_07	1	1	1
M00867_01	1	1	1
M00868_01	1	1	1
M00868_02	1	1	1
M00868_03	1	1	1
M00868_04	1	1	1
M00868_05	1	1	1
M00868_07	1	1	1
M00873_02	1	1	1
M00874_02	1	1	1
M00874_03	1	1	1
M00879_00	1	1	1
M00879_01	1	1	1
M00879_03	1	1	1
M00879_04	1	1	1
M00880_00	1	1	1
M00880_01	1	1	1
M00880_02	1	1	1
M00881_00	1	1	1
M00881_01	1	1	1
M00882_01	1	1	1
M00883_01	1	1	1
M00883_02	1	1	1
M00884_01	1	1	1
M00885_00	1	1	1
M00885_02	1	1	1
M00886_00	1	1	1
M00886_02	1	1	1
M00892_00	1	1	1
M00895_00	1	1	1
M00895_01	1	1	1
M00895_03	1	1	1
M00895_05	1	1	1
M00895_07	1	1	1
M00895_08	1	1	1
M00896_01	1	1	1
M00896_03	1	1	1
M00897_01	1	1	1
M00897_02	1	1	1
M00899_01	1	1	1
M00909_00	1	1	1
M00909_01	1	1	1
M00909_02	1	1	1
M00911_00	1	1	1
M00911_04	1	1	1
M00911_05	1	1	1
M00911_06	1	1	1
M00912_05	1	1	1
M00912_06	1	1	1
M00912_07	1	1	1
M00913_00	1	1	1
M00913_01	1	1	1
M00913_04	1	1	1
M00914_00	1	1	1
M00914_01	1	1	1
M00914_04	1	1	1
M00923_00	1	1	1
M00923_01	1	0	0
M00923_02	1	0	0
M00924_00	1	1	1
M00925_00	1	1	1
M00926_00	1	1	1
M00926_01	1	1	1
M00926_02	1	1	1
M00926_03	1	1	1
M00926_04	1	1	1
M00926_05	1	1	1
M00926_07	1	1	1
M00932_00	1	1	1
M00932_01	1	1	1
M00932_02	1	1	1
M00932_03	1	1	1
M00936_02	1	1	1
M00938_00	1	1	1
M00938_01	1	1	1
M00938_02	1	1	1
M00938_03	1	1	1
M00938_04	1	1	1
M00939_02	1	1	1
M00939_04	1	1	1
M00950_00	1	1	1
M00950_02	1	1	1
M00950_03	1	1	1
M00953_00	1	1	1
M00956_00	1	1	1
M00956_02	1	0	0
M00956_03	1	1	1
M00956_04	1	1	1
M00957_02	1	1	1
M00957_03	1	1	1
M00958_00	1	1	1
M00958_01	1	1	1
M00958_02	1	1	1
M00959_00	1	1	1
M00959_01	1	1	1
M00959_02	1	1	1
M00959_03	1	1	1
M00960_00	1	1	1
M00960_07	1	1	1
M00961_01	1	1	1
M00970_00	1	1	1
M00972_01	1	1	1
M00975_02	1	1	1
M00975_03	1	1	1
M00978_00	1	1	1
M00978_01	1	1	1
M00978_02	1	1	1
M00978_03	1	1	1
M00978_04	1	1	1
M00982_00	1	1	1
M00982_01	1	1	1
M00982_02	1	1	1
M00982_03	1	1	1
M00982_04	1	1	1
M00982_05	1	1	1
M00986_00	1	1	1
M00988_00	1	1	1
M00988_01	1	1	1
M00988_02	1	1	1
M00988_03	1	1	1
M00988_04	1	1	1
M00989_00	1	1	1
M00989_01	1	1	1
M00989_02	1	1	1
M00989_03	1	1	1
M00989_04	1	1	1
M00989_05	1	1	1
M00990_01	1	1	1
M00991_02	1	1	1
M00992_04	1	1	1
M00993_01	1	1	1
M00995_00	1	1	1
M00995_01	1	1	1
M00995_02	1	1	1
M00995_03	1	1	1
M00995_04	1	1	1
M00996_00	1	1	1
M00996_01	1	1	1
M00996_02	1	1	1
M00996_03	1	1	1
M00997_00	1	1	1
M00999_00	1	1	1
M00999_01	1	1	1
M01000_00	1	1	1
M01000_02	0	1	1
M01002_00	1	1	1
M01004_00	1	1	1
M01004_01	1	1	1
M01006_00	1	1	1
M01006_02	0	1	1
M01006_03	0	1	1
M01006_04	0	1	1
M01007_00	1	1	1
M01007_04	0	1	1
M01007_05	1	1	1
M01009_00	1	1	1
M01009_01	1	1	1
M01014_00	0	1	1
M01016_00	0	1	1
M01016_01	0	1	1
M01017_00	0	1	1
M01018_00	0	1	1
M01019_00	0	1	1
M01020_00	0	1	1
M01020_01	0	1	1
M01022_00	1	1	1
M01022_01	1	1	1
M01022_02	1	1	1
M01023_00	1	1	1
M01023_01	1	1	1
M01024_00	1	1	1
M01024_01	1	1	1
M01025_00	1	1	1
M01025_01	1	1	1
M01026_00	1	1	1
M01026_01	1	1	1
M01027_00	1	1	1
M01027_01	1	1	1
M01028_00	1	1	1
M01028_02	1	1	1
M01029_00	0	1	1
M01029_01	0	1	1
M01030_00	0	1	1
M01030_01	0	1	1
M01031_00	0	1	1
M01031_01	0	1	1
M01032_00	1	1	1
M01033_00	1	1	1
M01034_00	0	1	1
M01034_01	0	1	1
M01037_00	1	1	1
